"","moduleLabels","moduleColors"
"MTNR1A",1,"turquoise"
"TSPAN5",9,"magenta"
"OSGIN2",2,"blue"
"PDIK1L",0,"grey"
"SHMT1",6,"red"
"ZRANB2",0,"grey"
"PALS2",1,"turquoise"
"FBXL8",1,"turquoise"
"SRSF4",13,"salmon"
"CXorf38",1,"turquoise"
"BRD1",0,"grey"
"FBXO44",1,"turquoise"
"KRBA2",1,"turquoise"
"MCCC2",0,"grey"
"IVD",1,"turquoise"
"ATP5PF",5,"green"
"EPOR",0,"grey"
"MVP",0,"grey"
"ZMYM1",1,"turquoise"
"BCL7C",1,"turquoise"
"ZC3H18",0,"grey"
"PSTPIP2",0,"grey"
"ARHGEF40",0,"grey"
"ZP3",1,"turquoise"
"BCAS4",1,"turquoise"
"ISY1",1,"turquoise"
"ELOC",1,"turquoise"
"CUL1",0,"grey"
"RNF213",2,"blue"
"DHX9",0,"grey"
"NCKAP1",1,"turquoise"
"PKN2",2,"blue"
"XPR1",3,"brown"
"ZNF333",1,"turquoise"
"SMIM24",0,"grey"
"BTBD6",0,"grey"
"DUSP11",1,"turquoise"
"CREB3L2",0,"grey"
"WASHC4",2,"blue"
"ZBTB37",1,"turquoise"
"NDUFB10",0,"grey"
"BBS2",0,"grey"
"ABCG2",0,"grey"
"MRPL18",4,"yellow"
"PGAM5",1,"turquoise"
"FBXO21",0,"grey"
"GRB10",0,"grey"
"CLSTN1",0,"grey"
"PCDHA10",1,"turquoise"
"LMAN2",0,"grey"
"R3HCC1L",0,"grey"
"NIPSNAP3A",4,"yellow"
"INSIG2",0,"grey"
"STXBP2",3,"brown"
"PRPF4",1,"turquoise"
"LATS2",0,"grey"
"MS4A1",0,"grey"
"TYW3",4,"yellow"
"TMEM65",1,"turquoise"
"LSP1",1,"turquoise"
"EXOSC1",0,"grey"
"ARHGAP18",3,"brown"
"LY75-CD302",5,"green"
"STX17",0,"grey"
"BMPR2",0,"grey"
"KLF7",2,"blue"
"IFI6",0,"grey"
"FRMD8",1,"turquoise"
"MGAT2",0,"grey"
"NOP56",0,"grey"
"CUL5",0,"grey"
"NOL12",1,"turquoise"
"MICOS10",0,"grey"
"CERS5",1,"turquoise"
"TAF13",1,"turquoise"
"ENSG00000284024",1,"turquoise"
"SLX4",1,"turquoise"
"DERPC",0,"grey"
"EIF5",0,"grey"
"SEPSECS",1,"turquoise"
"HELT",5,"green"
"POLR2K",4,"yellow"
"PREB",0,"grey"
"TUBA8",0,"grey"
"STIL",1,"turquoise"
"UBE2C",0,"grey"
"CDK2AP1",3,"brown"
"FHOD1",0,"grey"
"DHPS",0,"grey"
"RPL5",4,"yellow"
"FFAR4",1,"turquoise"
"DENND1B",0,"grey"
"NDST2",0,"grey"
"BOLL",1,"turquoise"
"METTL22",1,"turquoise"
"PPME1",0,"grey"
"PIK3CA",2,"blue"
"TRAPPC1",3,"brown"
"NBPF10",11,"greenyellow"
"SLC9A6",8,"pink"
"NPIPB2",1,"turquoise"
"ZFC3H1",2,"blue"
"BRI3",4,"yellow"
"ZKSCAN8",0,"grey"
"IFI44L",4,"yellow"
"AP5B1",0,"grey"
"PLAG1",8,"pink"
"MYCBP2",2,"blue"
"WIPI1",3,"brown"
"ENTPD4",2,"blue"
"CCDC80",1,"turquoise"
"PDZD8",2,"blue"
"ZNF841",1,"turquoise"
"AZGP1",6,"red"
"MED1",0,"grey"
"ATG4C",0,"grey"
"OPRD1",1,"turquoise"
"CCL16",0,"grey"
"SACM1L",0,"grey"
"CD63",2,"blue"
"CX3CL1",1,"turquoise"
"TOP2A",0,"grey"
"GYPB",0,"grey"
"IGF1R",2,"blue"
"PKD1L1",1,"turquoise"
"CAV1",4,"yellow"
"DGAT2",2,"blue"
"STRBP",1,"turquoise"
"HPRT1",0,"grey"
"FANCI",0,"grey"
"TMEM260",2,"blue"
"PSMA7",4,"yellow"
"TTF1",1,"turquoise"
"GET1",3,"brown"
"ELOF1",0,"grey"
"PLAGL2",0,"grey"
"MSI2",0,"grey"
"MRTFA",0,"grey"
"ACAA1",6,"red"
"SPARCL1",0,"grey"
"IL6ST",3,"brown"
"TMEM109",0,"grey"
"ZNF319",0,"grey"
"FAM172A",0,"grey"
"PPP4R3A",2,"blue"
"KIAA1191",1,"turquoise"
"USB1",0,"grey"
"SFTPB",1,"turquoise"
"CNTNAP2",1,"turquoise"
"FRK",1,"turquoise"
"TBX19",1,"turquoise"
"CHD4",5,"green"
"RELA",0,"grey"
"HIF1A",2,"blue"
"TSEN34",0,"grey"
"KIF18A",0,"grey"
"TXNDC9",0,"grey"
"C21orf91",0,"grey"
"ARMCX6",17,"grey60"
"PPP4C",0,"grey"
"CD48",4,"yellow"
"PKN1",1,"turquoise"
"XBP1",6,"red"
"ERF",0,"grey"
"ARL3",0,"grey"
"SURF6",0,"grey"
"MLLT10",0,"grey"
"C17orf113",1,"turquoise"
"ERCC6",0,"grey"
"WDR97",1,"turquoise"
"EIF2AK4",0,"grey"
"BAZ1A",0,"grey"
"PTPRO",1,"turquoise"
"CYREN",0,"grey"
"CLEC12A",5,"green"
"ACBD4",1,"turquoise"
"ACTB",3,"brown"
"OTUD7B",1,"turquoise"
"IFI35",0,"grey"
"BSCL2",0,"grey"
"ANKRD12",2,"blue"
"CFHR2",1,"turquoise"
"NSMCE3",1,"turquoise"
"SLC30A5",1,"turquoise"
"ZNF185",3,"brown"
"IYD",1,"turquoise"
"CYB5RL",1,"turquoise"
"UBQLN1",3,"brown"
"SOCS2",0,"grey"
"UBA5",1,"turquoise"
"FAM83D",0,"grey"
"SRFBP1",0,"grey"
"SRSF9",4,"yellow"
"RABL3",0,"grey"
"ANGEL2",0,"grey"
"DYDC1",1,"turquoise"
"SMG6",0,"grey"
"TMEM213",1,"turquoise"
"INSR",6,"red"
"GLIPR1",2,"blue"
"UBXN6",9,"magenta"
"CIZ1",0,"grey"
"NFX1",0,"grey"
"IER3IP1",0,"grey"
"RASAL2",0,"grey"
"SYNJ1",2,"blue"
"POLR2J2",1,"turquoise"
"HLA-B",2,"blue"
"TCF7L2",0,"grey"
"ZNF431",1,"turquoise"
"TBC1D25",5,"green"
"ZNF800",2,"blue"
"MYCBP",0,"grey"
"QSER1",0,"grey"
"ULK2",1,"turquoise"
"PIGO",5,"green"
"HNRNPLL",3,"brown"
"SLC35E3",1,"turquoise"
"RADIL",14,"cyan"
"MCM6",3,"brown"
"ABCA7",0,"grey"
"EIF4A2",4,"yellow"
"ZC3H10",1,"turquoise"
"RPGR",0,"grey"
"USP22",0,"grey"
"TMX2",0,"grey"
"PTCD1",1,"turquoise"
"FAM107A",0,"grey"
"CAMKK2",0,"grey"
"NES",0,"grey"
"TCP11L2",9,"magenta"
"CLEC4A",0,"grey"
"PRR12",0,"grey"
"C2orf50",1,"turquoise"
"ZNF28",1,"turquoise"
"ENC1",0,"grey"
"MAP2K1",0,"grey"
"PTP4A1",2,"blue"
"MARCHF8",9,"magenta"
"CARF",1,"turquoise"
"GTF3C6",0,"grey"
"UBR2",2,"blue"
"VOPP1",0,"grey"
"MAK",1,"turquoise"
"PIGW",1,"turquoise"
"SAE1",0,"grey"
"OAZ1",3,"brown"
"SGCE",1,"turquoise"
"YIPF5",0,"grey"
"IL11",1,"turquoise"
"TCF7",0,"grey"
"MIOS",0,"grey"
"RLIM",1,"turquoise"
"SAMD9",2,"blue"
"MMRN1",3,"brown"
"AKR1C3",6,"red"
"RNF19A",0,"grey"
"YKT6",0,"grey"
"SPARC",3,"brown"
"UBE2V2",0,"grey"
"FBXL18",1,"turquoise"
"ZNF662",1,"turquoise"
"SERPINC1",6,"red"
"KCTD21",7,"black"
"ZNF37A",1,"turquoise"
"GTF3C1",0,"grey"
"CTSZ",1,"turquoise"
"VTI1B",3,"brown"
"ZNF266",0,"grey"
"APOA1",6,"red"
"KPRP",0,"grey"
"KPNB1",2,"blue"
"FOXO3",9,"magenta"
"SLC25A38",0,"grey"
"DCTN2",0,"grey"
"IFT20",0,"grey"
"UHRF1",1,"turquoise"
"MCF2L2",14,"cyan"
"WNT9B",1,"turquoise"
"OLA1",0,"grey"
"FAM120B",0,"grey"
"MFHAS1",0,"grey"
"CSRNP2",0,"grey"
"RASGRF2",0,"grey"
"KPNA6",0,"grey"
"SSBP1",4,"yellow"
"SUPT7L",1,"turquoise"
"CSF1R",0,"grey"
"SHKBP1",0,"grey"
"NAGK",0,"grey"
"QTRT2",0,"grey"
"TOMM7",4,"yellow"
"TNFSF14",1,"turquoise"
"VTA1",0,"grey"
"DMAC1",4,"yellow"
"AOAH",2,"blue"
"CRISPLD2",2,"blue"
"PNN",0,"grey"
"ESPN",0,"grey"
"RBM43",5,"green"
"DDX3X",2,"blue"
"PLXDC1",1,"turquoise"
"HNRNPL",0,"grey"
"TENT5A",0,"grey"
"SYTL3",0,"grey"
"NDC1",0,"grey"
"GOLGA4",0,"grey"
"NOTCH1",2,"blue"
"ECD",1,"turquoise"
"PNPO",1,"turquoise"
"DAPK1",0,"grey"
"ST8SIA6",0,"grey"
"TDP2",2,"blue"
"PINX1",0,"grey"
"SELENBP1",9,"magenta"
"TMED4",1,"turquoise"
"TTC38",0,"grey"
"CES1",6,"red"
"STK17B",13,"salmon"
"B3GAT3",1,"turquoise"
"CYP3A4",6,"red"
"MBOAT2",9,"magenta"
"PISD",2,"blue"
"SKA2",4,"yellow"
"USP1",0,"grey"
"SAR1B",1,"turquoise"
"TTC7B",1,"turquoise"
"RBL1",0,"grey"
"TOB1",2,"blue"
"SPRING1",1,"turquoise"
"CENPF",0,"grey"
"ABHD16A",3,"brown"
"PPIL6",1,"turquoise"
"PATL1",2,"blue"
"CNOT6L",0,"grey"
"S100A9",2,"blue"
"RNGTT",0,"grey"
"SPEF2",1,"turquoise"
"CEP250",1,"turquoise"
"KCNJ2",2,"blue"
"ZNF684",1,"turquoise"
"SLC4A1",9,"magenta"
"PDHA1",0,"grey"
"ZNF492",1,"turquoise"
"TKT",0,"grey"
"DDT",0,"grey"
"RNF38",2,"blue"
"KLHL2",2,"blue"
"HERPUD2",0,"grey"
"SLC52A1",1,"turquoise"
"HSD17B2",1,"turquoise"
"FAM214A",2,"blue"
"UBE2G1",0,"grey"
"PELI2",3,"brown"
"TPX2",6,"red"
"ATP9B",1,"turquoise"
"DAZAP1",0,"grey"
"HMGCS2",6,"red"
"LILRB2",2,"blue"
"CSTF1",0,"grey"
"NEPRO",0,"grey"
"IGF2BP3",3,"brown"
"CLUH",6,"red"
"HRG",6,"red"
"ZNF131",0,"grey"
"SP140L",1,"turquoise"
"USP47",3,"brown"
"CCDC88B",0,"grey"
"PAPOLA",13,"salmon"
"AATK",0,"grey"
"MSH3",0,"grey"
"NDUFAB1",0,"grey"
"MRPL45",0,"grey"
"SPECC1L",0,"grey"
"TTC37",0,"grey"
"TET3",2,"blue"
"SPN",1,"turquoise"
"RPS5",4,"yellow"
"ANP32E",0,"grey"
"MTMR1",2,"blue"
"SYNGAP1",0,"grey"
"LAX1",1,"turquoise"
"ELOVL5",2,"blue"
"SPPL2B",1,"turquoise"
"ARHGAP21",3,"brown"
"BLOC1S2",1,"turquoise"
"ZNF66",1,"turquoise"
"GINS1",0,"grey"
"ITM2B",2,"blue"
"RAB19",1,"turquoise"
"STK26",0,"grey"
"PAPSS2",6,"red"
"ACSL3",2,"blue"
"UTRN",0,"grey"
"SDAD1",0,"grey"
"RPL35",4,"yellow"
"IMPDH2",4,"yellow"
"MCUB",4,"yellow"
"CLTA",0,"grey"
"SEC14L5",3,"brown"
"GPR37L1",1,"turquoise"
"OGDH",0,"grey"
"ZFP14",1,"turquoise"
"KPNA3",0,"grey"
"XNDC1N",1,"turquoise"
"HSPA1L",1,"turquoise"
"RHOC",0,"grey"
"PPP3CA",2,"blue"
"ZNF529",1,"turquoise"
"SPATA1",1,"turquoise"
"SPTSSA",0,"grey"
"MKNK1",1,"turquoise"
"DYSF",2,"blue"
"BMT2",2,"blue"
"C1orf174",1,"turquoise"
"PLEKHO1",3,"brown"
"NPC2",4,"yellow"
"YTHDF1",0,"grey"
"DMTN",9,"magenta"
"CEP170",2,"blue"
"MSH6",0,"grey"
"ZNF556",1,"turquoise"
"ADGRF1",1,"turquoise"
"TMEM98",1,"turquoise"
"EP400",0,"grey"
"PTK2",3,"brown"
"RNF217",0,"grey"
"GSDMA",1,"turquoise"
"NOP9",0,"grey"
"LLGL2",0,"grey"
"FAM98B",0,"grey"
"SLC8B1",1,"turquoise"
"PPM1K",1,"turquoise"
"RBFOX1",15,"midnightblue"
"MCU",0,"grey"
"NFKB2",2,"blue"
"FAM76B",0,"grey"
"ZNF605",1,"turquoise"
"CDS1",8,"pink"
"RHEB",3,"brown"
"OTUD6B",0,"grey"
"TVP23A",1,"turquoise"
"NPM1",4,"yellow"
"H4C13",4,"yellow"
"PRPS2",4,"yellow"
"CELF1",2,"blue"
"ABRAXAS2",0,"grey"
"EDRF1",0,"grey"
"PDE4C",1,"turquoise"
"NBPF19",0,"grey"
"RAD18",0,"grey"
"FRA10AC1",0,"grey"
"HVCN1",0,"grey"
"TAF10",0,"grey"
"MMP24OS",0,"grey"
"DEPDC5",7,"black"
"LTBP1",3,"brown"
"MAPRE1",0,"grey"
"SENP7",1,"turquoise"
"LRRK2",2,"blue"
"FAAP24",1,"turquoise"
"ABI2",1,"turquoise"
"ENSG00000285827",0,"grey"
"ATF1",0,"grey"
"DYNC1H1",1,"turquoise"
"TMEM33",1,"turquoise"
"POLDIP3",0,"grey"
"CDC6",1,"turquoise"
"PLD1",0,"grey"
"AKNA",1,"turquoise"
"NBR1",2,"blue"
"NDUFC1",0,"grey"
"HPS4",0,"grey"
"IMMT",0,"grey"
"MARK3",9,"magenta"
"DRAM2",0,"grey"
"ITPRIPL2",0,"grey"
"ADAMTS2",1,"turquoise"
"ARPC3",4,"yellow"
"BRD8",0,"grey"
"WDR12",1,"turquoise"
"SLAIN1",0,"grey"
"NR2C2",0,"grey"
"NKTR",2,"blue"
"AURKA",0,"grey"
"TBC1D9B",0,"grey"
"PNPLA6",0,"grey"
"AP3B1",2,"blue"
"AHCYL1",0,"grey"
"COP1",2,"blue"
"RPP14",1,"turquoise"
"DDX24",0,"grey"
"PHACTR1",0,"grey"
"ALYREF",0,"grey"
"NT5C3B",1,"turquoise"
"ZNF747",1,"turquoise"
"MITD1",0,"grey"
"HCK",2,"blue"
"BMP6",3,"brown"
"LSM3",0,"grey"
"SEPTIN7",3,"brown"
"SPCS3",1,"turquoise"
"DEF8",0,"grey"
"CHAF1A",13,"salmon"
"VWA2",1,"turquoise"
"FTH1",3,"brown"
"SLC35F1",1,"turquoise"
"YWHAH",3,"brown"
"NPRL2",15,"midnightblue"
"H2AC21",1,"turquoise"
"BOD1",4,"yellow"
"UMPS",0,"grey"
"TIMM17A",0,"grey"
"HNRNPA0",0,"grey"
"PCBP1",0,"grey"
"LRRC2",1,"turquoise"
"NSD1",2,"blue"
"ANO9",5,"green"
"WDR91",5,"green"
"FYN",3,"brown"
"CNDP2",0,"grey"
"YPEL5",3,"brown"
"KCND3",3,"brown"
"DSTYK",1,"turquoise"
"NAIP",2,"blue"
"UBALD1",0,"grey"
"ZNF518B",0,"grey"
"SPAG9",2,"blue"
"SERTAD1",1,"turquoise"
"HASPIN",0,"grey"
"CORO1C",3,"brown"
"TEX9",3,"brown"
"GPATCH11",0,"grey"
"H3C6",0,"grey"
"BARD1",3,"brown"
"ZNF442",1,"turquoise"
"F2",6,"red"
"H2AC6",3,"brown"
"RASAL3",0,"grey"
"TMEM176A",6,"red"
"CTNNB1",0,"grey"
"DYNC2I2",5,"green"
"TMEM185B",1,"turquoise"
"ANO10",0,"grey"
"IMPACT",0,"grey"
"ITGA6",3,"brown"
"THAP5",1,"turquoise"
"CCND1",4,"yellow"
"RIC8A",0,"grey"
"SMCO4",0,"grey"
"CCL4",0,"grey"
"NOL11",0,"grey"
"ZCCHC10",0,"grey"
"PSMD2",0,"grey"
"RASSF9",1,"turquoise"
"TOX",13,"salmon"
"IPO5",4,"yellow"
"C19orf81",5,"green"
"PLEKHO2",0,"grey"
"NUDCD2",1,"turquoise"
"GIGYF2",0,"grey"
"CHMP3",0,"grey"
"CEBPZ",4,"yellow"
"ZNF479",1,"turquoise"
"ANAPC1",0,"grey"
"SH2D3C",0,"grey"
"PTPN14",1,"turquoise"
"SNRPG",0,"grey"
"APTX",0,"grey"
"BMS1",0,"grey"
"NFATC3",4,"yellow"
"EPSTI1",0,"grey"
"PRKACB",17,"grey60"
"TMC6",1,"turquoise"
"GDPGP1",1,"turquoise"
"PCBD2",1,"turquoise"
"SPRYD7",1,"turquoise"
"SF3B2",13,"salmon"
"PAK1IP1",0,"grey"
"OR10H1",1,"turquoise"
"PITPNM2",3,"brown"
"L3MBTL4",0,"grey"
"TGFB1",3,"brown"
"ZXDC",0,"grey"
"SLC6A16",1,"turquoise"
"LRRC8E",1,"turquoise"
"PSEN2",1,"turquoise"
"PCDHB13",1,"turquoise"
"WASHC2C",0,"grey"
"LCMT2",1,"turquoise"
"RSPH3",1,"turquoise"
"PTPN9",0,"grey"
"RUNDC1",1,"turquoise"
"YES1",1,"turquoise"
"FAM120AOS",1,"turquoise"
"ZDBF2",0,"grey"
"FAM228B",0,"grey"
"CLIC1",0,"grey"
"LILRA5",1,"turquoise"
"FAM104A",9,"magenta"
"SNX29",0,"grey"
"ARGLU1",0,"grey"
"SAMD5",1,"turquoise"
"IGFBP5",0,"grey"
"POLD4",0,"grey"
"CREM",0,"grey"
"PTGER4",7,"black"
"METAP1",0,"grey"
"NR2F2",0,"grey"
"BCL2A1",2,"blue"
"ZBTB24",0,"grey"
"OR7D2",1,"turquoise"
"PRDM1",2,"blue"
"CCDC47",2,"blue"
"PHB1",0,"grey"
"BIN1",0,"grey"
"SRRM1",1,"turquoise"
"ALS2",1,"turquoise"
"ECT2",1,"turquoise"
"WDR45B",0,"grey"
"CDH3",1,"turquoise"
"PNISR",8,"pink"
"EI24",6,"red"
"DOCK1",4,"yellow"
"FAM111A",1,"turquoise"
"MYBL1",0,"grey"
"PDZK1IP1",0,"grey"
"CTR9",0,"grey"
"VIL1",0,"grey"
"PTTG1IP",3,"brown"
"PSMD9",0,"grey"
"SIKE1",0,"grey"
"PARP15",1,"turquoise"
"TTC19",0,"grey"
"GFPT1",1,"turquoise"
"ARHGAP32",3,"brown"
"MRPS10",1,"turquoise"
"CGNL1",6,"red"
"TRPM7",1,"turquoise"
"NUCKS1",0,"grey"
"IP6K2",0,"grey"
"NXN",1,"turquoise"
"FOXJ3",0,"grey"
"EIF5B",4,"yellow"
"EIF2B4",0,"grey"
"DMAC2L",1,"turquoise"
"IL20",8,"pink"
"NIBAN2",0,"grey"
"IL17RD",1,"turquoise"
"TFAM",0,"grey"
"RALGAPB",2,"blue"
"PARP12",0,"grey"
"SLC22A23",3,"brown"
"GTF2H1",1,"turquoise"
"SRSF7",4,"yellow"
"FLCN",1,"turquoise"
"NAMPT",2,"blue"
"VKORC1L1",1,"turquoise"
"TBCEL",9,"magenta"
"HS3ST3B1",1,"turquoise"
"CTNS",0,"grey"
"MZT2B",0,"grey"
"ROMO1",4,"yellow"
"AMFR",3,"brown"
"PLCB4",1,"turquoise"
"MPHOSPH10",0,"grey"
"G3BP2",1,"turquoise"
"PYGB",3,"brown"
"NHLRC2",1,"turquoise"
"ZNF430",1,"turquoise"
"JAML",2,"blue"
"TNRC6A",0,"grey"
"GTF2A2",0,"grey"
"RCHY1",3,"brown"
"MARCHF5",2,"blue"
"TACC3",0,"grey"
"DNAJC5G",13,"salmon"
"NAE1",1,"turquoise"
"PPP2R5B",0,"grey"
"SPOP",1,"turquoise"
"RPGRIP1L",1,"turquoise"
"PTPRF",6,"red"
"MAML1",2,"blue"
"ZNF808",0,"grey"
"TYK2",2,"blue"
"PIP4K2A",9,"magenta"
"MTMR4",0,"grey"
"SNX9",0,"grey"
"NECAP1",0,"grey"
"TTC39A",5,"green"
"UQCC3",1,"turquoise"
"DCLRE1A",3,"brown"
"TLR7",1,"turquoise"
"SMAD1",0,"grey"
"AGAP6",1,"turquoise"
"RIOK2",0,"grey"
"NAAA",1,"turquoise"
"ABHD13",2,"blue"
"CCPG1",1,"turquoise"
"TRDMT1",1,"turquoise"
"CFL1",0,"grey"
"UMAD1",0,"grey"
"CPSF6",0,"grey"
"TTC8",1,"turquoise"
"EYA3",1,"turquoise"
"BOD1L1",2,"blue"
"KIFBP",1,"turquoise"
"ANKRD60",1,"turquoise"
"GNE",1,"turquoise"
"ZNF501",1,"turquoise"
"MGST2",0,"grey"
"ZNF880",0,"grey"
"NCKAP1L",2,"blue"
"EMP3",0,"grey"
"H3C2",0,"grey"
"CBX7",0,"grey"
"OSBPL1A",0,"grey"
"ESCO1",0,"grey"
"TRA2A",0,"grey"
"PHF2",0,"grey"
"MTAP",1,"turquoise"
"RFC1",0,"grey"
"TRNT1",1,"turquoise"
"TMBIM6",2,"blue"
"ANKRD44",2,"blue"
"GZMB",0,"grey"
"SRD5A3",1,"turquoise"
"NFE2L1",0,"grey"
"STIP1",0,"grey"
"CYTIP",2,"blue"
"MTDH",0,"grey"
"HSP90AB1",4,"yellow"
"ZNF483",1,"turquoise"
"FOXI3",1,"turquoise"
"C2",0,"grey"
"NOP14",1,"turquoise"
"PPP1R9B",0,"grey"
"FER",3,"brown"
"SNRK",2,"blue"
"UTP6",1,"turquoise"
"KCMF1",0,"grey"
"IL17RA",2,"blue"
"DARS1",0,"grey"
"NPLOC4",1,"turquoise"
"ARSD",1,"turquoise"
"RB1",0,"grey"
"ANKLE1",1,"turquoise"
"MPV17",1,"turquoise"
"SLC35D1",6,"red"
"LYSMD3",2,"blue"
"ERLIN1",0,"grey"
"COA7",1,"turquoise"
"UTP11",0,"grey"
"TP53I11",0,"grey"
"ALG8",1,"turquoise"
"PF4V1",3,"brown"
"ST3GAL4",0,"grey"
"CYB5R3",0,"grey"
"TFAP2A",0,"grey"
"ZNF169",1,"turquoise"
"MICU2",0,"grey"
"GLIPR1L2",1,"turquoise"
"CYSRT1",1,"turquoise"
"RABEPK",1,"turquoise"
"PHTF1",0,"grey"
"CMTM5",3,"brown"
"STX10",0,"grey"
"GAB3",0,"grey"
"COL4A1",0,"grey"
"OSBPL2",1,"turquoise"
"STS",1,"turquoise"
"SHROOM4",0,"grey"
"BTNL2",8,"pink"
"TGIF1",0,"grey"
"ZFAND5",1,"turquoise"
"ICA1",4,"yellow"
"MNT",0,"grey"
"ENTPD1",1,"turquoise"
"OR51E2",1,"turquoise"
"STK11",0,"grey"
"MX1",1,"turquoise"
"PAXBP1",0,"grey"
"SETD1A",0,"grey"
"PURB",2,"blue"
"RELB",0,"grey"
"POLR1G",1,"turquoise"
"ATP6V0A1",0,"grey"
"ZNF615",1,"turquoise"
"DYNC2LI1",1,"turquoise"
"CNOT8",0,"grey"
"ADAM17",1,"turquoise"
"CPNE1",0,"grey"
"G6PC1",1,"turquoise"
"NCOA2",2,"blue"
"PIAS4",0,"grey"
"RABL2B",1,"turquoise"
"LZIC",1,"turquoise"
"TOR4A",1,"turquoise"
"NRXN3",1,"turquoise"
"CYB5D1",0,"grey"
"MRPS25",1,"turquoise"
"FSBP",1,"turquoise"
"ZMAT2",0,"grey"
"RPL11",4,"yellow"
"RAP2C",0,"grey"
"MXD1",2,"blue"
"TUBB4B",0,"grey"
"AZI2",0,"grey"
"NUAK2",0,"grey"
"CERT1",1,"turquoise"
"AHSG",6,"red"
"MANSC1",1,"turquoise"
"ELAPOR1",1,"turquoise"
"IMP3",4,"yellow"
"PCTP",0,"grey"
"SIRT1",0,"grey"
"CD164",2,"blue"
"MANBA",0,"grey"
"H3-3B",2,"blue"
"TMEM167B",2,"blue"
"ZKSCAN3",1,"turquoise"
"PLEKHG1",0,"grey"
"CDKL5",0,"grey"
"TPRKB",1,"turquoise"
"UBFD1",0,"grey"
"INPP4A",2,"blue"
"ADPGK",2,"blue"
"SIAE",1,"turquoise"
"CWC15",4,"yellow"
"KLHL11",1,"turquoise"
"PSMB3",0,"grey"
"DEDD2",0,"grey"
"ZBTB3",1,"turquoise"
"DDX25",1,"turquoise"
"RPS25",4,"yellow"
"DNM1L",3,"brown"
"TESK2",0,"grey"
"EIF1AD",1,"turquoise"
"ORC4",1,"turquoise"
"ZNF207",1,"turquoise"
"TOLLIP",0,"grey"
"NOD2",2,"blue"
"PLVAP",0,"grey"
"SCMH1",0,"grey"
"GYG1",0,"grey"
"POLR3GL",0,"grey"
"YARS1",0,"grey"
"R3HDM1",0,"grey"
"GAPDH",18,"lightgreen"
"HACD4",3,"brown"
"COX7C",4,"yellow"
"APC",2,"blue"
"TLR2",2,"blue"
"SUCNR1",3,"brown"
"SLC39A1",0,"grey"
"CDC42EP1",0,"grey"
"VNN2",2,"blue"
"CNOT11",0,"grey"
"CCDC7",0,"grey"
"MGRN1",1,"turquoise"
"TECPR1",0,"grey"
"MRPL30",1,"turquoise"
"CALM1",7,"black"
"B4GALNT2",0,"grey"
"C8orf33",0,"grey"
"RCC1L",0,"grey"
"EPM2AIP1",11,"greenyellow"
"RPS9",4,"yellow"
"SIVA1",0,"grey"
"CD3E",0,"grey"
"MSANTD4",0,"grey"
"GPS2",0,"grey"
"ATP5IF1",0,"grey"
"TP53RK",0,"grey"
"FBXL13",0,"grey"
"KAT7",1,"turquoise"
"RUFY2",0,"grey"
"GATC",0,"grey"
"EPHB4",0,"grey"
"C4orf46",0,"grey"
"SERPINA10",1,"turquoise"
"CPLANE2",5,"green"
"SMIM11",1,"turquoise"
"ARL8B",3,"brown"
"SATB1",0,"grey"
"PPM1D",1,"turquoise"
"VPS45",1,"turquoise"
"ZNF850",1,"turquoise"
"TP53BP2",0,"grey"
"VGLL4",0,"grey"
"SPC24",1,"turquoise"
"ZFAT",0,"grey"
"SYAP1",1,"turquoise"
"ZBED5",0,"grey"
"LTA4H",4,"yellow"
"AP1AR",0,"grey"
"ADGRE1",0,"grey"
"IFIT3",2,"blue"
"MYADM",2,"blue"
"PDE3B",2,"blue"
"PGK1",2,"blue"
"MLXIP",1,"turquoise"
"KHNYN",0,"grey"
"GPAA1",0,"grey"
"VAMP2",2,"blue"
"RNF135",0,"grey"
"SOS1",0,"grey"
"MATK",0,"grey"
"KMT2E",2,"blue"
"CTNND2",5,"green"
"PTEN",2,"blue"
"ZNF189",0,"grey"
"ERI1",1,"turquoise"
"SETD2",2,"blue"
"RASSF3",0,"grey"
"PACSIN2",2,"blue"
"RFX5",0,"grey"
"PTPN18",15,"midnightblue"
"ZBTB34",2,"blue"
"SYNE2",2,"blue"
"SLC22A4",0,"grey"
"VCPIP1",2,"blue"
"NETO2",1,"turquoise"
"GALK1",14,"cyan"
"PRAM1",0,"grey"
"EIF3B",0,"grey"
"FLVCR1",0,"grey"
"COX14",0,"grey"
"PROM2",1,"turquoise"
"ALOX5",2,"blue"
"LYRM2",1,"turquoise"
"MRPS14",0,"grey"
"TAF7",0,"grey"
"PHLPP2",1,"turquoise"
"SFXN2",1,"turquoise"
"VEPH1",3,"brown"
"AMBP",6,"red"
"H2AC14",0,"grey"
"SMIM3",3,"brown"
"TGM2",0,"grey"
"ACTL6A",0,"grey"
"ARHGEF7",0,"grey"
"SLC23A2",0,"grey"
"PKD2",0,"grey"
"LIN54",1,"turquoise"
"OR4D9",1,"turquoise"
"ZNF277",6,"red"
"ZNF704",0,"grey"
"DEFA4",0,"grey"
"ZNF197",1,"turquoise"
"PTOV1",0,"grey"
"CMIP",3,"brown"
"APOL6",1,"turquoise"
"NPHP1",1,"turquoise"
"SEPTIN11",3,"brown"
"NDUFA11",1,"turquoise"
"H2AW",0,"grey"
"ATP8B2",0,"grey"
"RFTN1",0,"grey"
"ZNF148",2,"blue"
"IKZF1",5,"green"
